z,pdf,index,obs,chain,sample,y
-4.041851969691217,6.993729090334187e-05,30,30,2,0,-4.0
-4.021552619841829,7.359988781500014e-05,31,31,2,0,-3.9666666666666663
-4.001878368099174,7.715342202886632e-05,32,32,2,0,-3.933333333333333
-3.982547978391291,8.329418337512564e-05,33,33,2,0,-3.9
-3.9631750660140868,9.019873644971563e-05,34,34,2,0,-3.866666666666667
-3.9437470763266838,9.764410561712831e-05,35,35,2,0,-3.833333333333333
-3.9242720907746738,0.00010566645024775851,36,36,2,0,-3.8
-3.904753140408469,0.00011430569519701646,37,37,2,0,-3.7666666666666666
-3.8851977294083224,0.00012360171798153432,38,38,2,0,-3.7333333333333334
-3.8655994804152085,0.00013360331047914255,39,39,2,0,-3.7
-3.8459664380206617,0.0001443551628940522,40,40,2,0,-3.666666666666667
-3.826301633275099,0.00015590650437809718,41,41,2,0,-3.633333333333333
-3.8066126658997215,0.0001683059860314022,42,42,2,0,-3.6
-3.786893130189777,0.00018161355687126805,43,43,2,0,-3.566666666666667
-3.767151003541576,0.00019588326140331487,44,44,2,0,-3.533333333333333
-3.747389317005539,0.00021117448897234813,45,45,2,0,-3.5
-3.7276157355026456,0.0002275452091632326,46,46,2,0,-3.466666666666667
-3.7078238856647507,0.0002450674884277058,47,47,2,0,-3.433333333333333
-3.6880216473517824,0.00026380509575323784,48,48,2,0,-3.4
-3.668212051614151,0.0002838279306017848,49,49,2,0,-3.3666666666666667
-3.6484027982253364,0.000305203232715999,50,50,2,0,-3.3333333333333335
-3.628584793234437,0.0003281861504654488,51,51,2,0,-3.3
-3.6087438281871242,0.00035326697047161396,52,52,2,0,-3.2666666666666666
-3.588852728585893,0.0003807052678105135,53,53,2,0,-3.2333333333333334
-3.568888929142551,0.0004107765137607175,54,54,2,0,-3.1999999999999997
-3.5488141345273694,0.0004438237152540963,55,55,2,0,-3.1666666666666665
-3.5286068614693864,0.0004801921364478708,56,56,2,0,-3.1333333333333333
-3.508239896224654,0.0005202891165821629,57,57,2,0,-3.0999999999999996
-3.4876860250492183,0.000564575698039116,58,58,2,0,-3.0666666666666664
-3.466919680119185,0.0006135800992633207,59,59,2,0,-3.033333333333333
-3.445906407421586,0.0006679046059459272,60,60,2,0,-2.9999999999999996
-3.4246238849044044,0.0007282120963712424,61,61,2,0,-2.966666666666667
-3.4030448988236874,0.0007952690733850425,62,62,2,0,-2.9333333333333336
-3.3811429359068623,0.0008699568903279006,63,63,2,0,-2.9000000000000004
-3.358883971940698,0.0009532871620036146,64,64,2,0,-2.8666666666666663
-3.3362462005221207,0.0010463786498774896,65,65,2,0,-2.8333333333333335
-3.3132024079071756,0.0011505308489401231,66,66,2,0,-2.8
-3.2897254077873788,0.0012672423754005624,67,67,2,0,-2.7666666666666666
-3.2657810609237043,0.001398246539609309,68,68,2,0,-2.7333333333333334
-3.2413503221279516,0.0015449569389595456,69,69,2,0,-2.7
-3.2164259662774155,0.001707929653254887,70,70,2,0,-2.666666666666666
-3.1910118065859776,0.0018888778125344615,71,71,2,0,-2.6333333333333333
-3.1651037516192444,0.0020898813629638,72,72,2,0,-2.6
-3.138712385636824,0.0023131265326188284,73,73,2,0,-2.5666666666666664
-3.1118411760269344,0.0025610869477706386,74,74,2,0,-2.533333333333333
-3.0844950979217294,0.0028364726001724426,75,75,2,0,-2.5
-3.0566682935198877,0.0031424221825931417,76,76,2,0,-2.466666666666667
-3.0283721371829713,0.0034822116424069534,77,77,2,0,-2.433333333333333
-2.999610096299201,0.003859537761637222,78,78,2,0,-2.4
-2.9703880875567354,0.004278425557755486,79,79,2,0,-2.3666666666666667
-2.9406985562052568,0.004743542649147546,80,80,2,0,-2.333333333333333
-2.910553631999317,0.005259718575610832,81,81,2,0,-2.3
-2.8799567823271373,0.005832384158788685,82,82,2,0,-2.2666666666666666
-2.848914830723921,0.006467408386997961,83,83,2,0,-2.233333333333333
-2.817418594908277,0.007171601345524484,84,84,2,0,-2.2
-2.7854809253187853,0.00795193315822863,85,85,2,0,-2.1666666666666665
-2.753105289343665,0.008816206857464273,86,86,2,0,-2.133333333333333
-2.720296805569323,0.009776422829135208,87,87,2,0,-2.0999999999999996
-2.687007697310287,0.01085930714530791,88,88,2,0,-2.066666666666667
-2.6531897879416646,0.01208397040080872,89,89,2,0,-2.033333333333333
-2.6187842863815827,0.01347138957021788,90,90,2,0,-1.9999999999999998
-2.583735476869982,0.015045779674947865,91,91,2,0,-1.9666666666666668
-2.547967729180414,0.01683594252559123,92,92,2,0,-1.9333333333333336
-2.511434498072019,0.018873589660470105,93,93,2,0,-1.8999999999999997
-2.474076992462929,0.02119608565449336,94,94,2,0,-1.8666666666666667
-2.435839228884666,0.02384652805996326,95,95,2,0,-1.8333333333333335
-2.3966429560523426,0.026876273873118976,96,96,2,0,-1.7999999999999996
-2.3564445174919566,0.030341732380116213,97,97,2,0,-1.7666666666666666
-2.3151851221216346,0.03430924795328644,98,98,2,0,-1.7333333333333334
-2.272809107270112,0.038854994186456514,99,99,2,0,-1.6999999999999997
-2.229234423582813,0.04406963974259053,100,100,2,0,-1.6666666666666665
-2.1844208918582124,0.05005196909231433,101,101,2,0,-1.6333333333333333
-2.1383097210144375,0.05691741390576246,102,102,2,0,-1.6
-2.090846157683057,0.06479710736459311,103,103,2,0,-1.5666666666666664
-2.0419431774285615,0.07384615389859694,104,104,2,0,-1.5333333333333332
-1.9915705434365967,0.08417825671593135,105,105,2,0,-1.5
-1.9397819311221844,0.09565151098663456,106,106,2,0,-1.4666666666666663
-1.886740304019582,0.1082558446353469,107,107,2,0,-1.4333333333333333
-1.8325778404388195,0.12200665449514352,108,108,2,0,-1.4
-1.7774785193186793,0.13688514478797426,109,109,2,0,-1.3666666666666663
-1.7216022509777729,0.15284311427239647,110,110,2,0,-1.3333333333333333
-1.665120661008459,0.1697911483563287,111,111,2,0,-1.3000000000000003
-1.6081666672335495,0.18761034108531544,112,112,2,0,-1.2666666666666662
-1.5509195860673033,0.2061347673184476,113,113,2,0,-1.2333333333333332
-1.4935393278283304,0.22515763194294297,114,114,2,0,-1.2000000000000002
-1.4361998403996945,0.24442455684198075,115,115,2,0,-1.1666666666666667
-1.3790379825590677,0.26365113970031034,116,116,2,0,-1.133333333333333
-1.3222268074751442,0.2825210059308285,117,117,2,0,-1.1
-1.2659262254665342,0.30068905128991374,118,118,2,0,-1.0666666666666669
-1.2103109059859642,0.3177857621789359,119,119,2,0,-1.033333333333333
-1.1555248502080502,0.3334340601056862,120,120,2,0,-0.9999999999999999
-1.1017332473348793,0.34727357934420683,121,121,2,0,-0.9666666666666668
-1.0490960076850595,0.358947704167329,122,122,2,0,-0.9333333333333331
-0.9977838645031495,0.36827501653060185,123,123,2,0,-0.9
-0.9478443681891613,0.37635744835259877,124,124,2,0,-0.8666666666666669
-0.899204396269036,0.38353622368552154,125,125,2,0,-0.8333333333333328
-0.8517881941230093,0.3898863806539637,126,126,2,0,-0.7999999999999997
-0.8055313755004225,0.3954898095245254,127,127,2,0,-0.7666666666666666
-0.7603489039380192,0.4004423792170309,128,128,2,0,-0.733333333333333
-0.7161609823112607,0.404830680021346,129,129,2,0,-0.6999999999999998
-0.6728918560003809,0.4087471432233527,130,130,2,0,-0.6666666666666667
-0.6304657703856116,0.41228349424442784,131,131,2,0,-0.6333333333333336
-0.5888260988452069,0.4155365616355251,132,132,2,0,-0.5999999999999995
-0.5478662624364905,0.41858708648989107,133,133,2,0,-0.5666666666666664
-0.5075202468854323,0.4215153157674932,134,134,2,0,-0.5333333333333333
-0.4677122975722657,0.4243968429141374,135,135,2,0,-0.49999999999999967
-0.4283808509220552,0.4273099395395301,136,136,2,0,-0.46666666666666656
-0.3894251346560556,0.4303101043877528,137,137,2,0,-0.43333333333333346
-0.3507782647894953,0.4334505305581916,138,138,2,0,-0.3999999999999998
-0.31236448670260764,0.43677778676178713,139,139,2,0,-0.3666666666666667
-0.27411805817989116,0.440339533388881,140,140,2,0,-0.33333333333333315
-0.2359433886796777,0.4440808968652183,141,141,2,0,-0.2999999999999995
-0.19781459538270577,0.4470993760093809,142,142,2,0,-0.2666666666666664
-0.1597594480393364,0.4490769593362522,143,143,2,0,-0.23333333333333328
-0.12182218368314272,0.44999403380337943,144,144,2,0,-0.20000000000000018
-0.0840182234094836,0.44984828711228875,145,145,2,0,-0.16666666666666652
-0.04638998866876597,0.44864279761730275,146,146,2,0,-0.13333333333333341
-0.00897121563221454,0.4463884647291912,147,147,2,0,-0.09999999999999987
0.028192744610432904,0.44310112820468406,148,148,2,0,-0.06666666666666621
0.06508688779139303,0.4388092768355937,149,149,2,0,-0.033333333333333104
0.10166948968884926,0.43354932869332435,150,150,2,0,2.7755575615628914e-16
0.13790681413157405,0.42736242643593625,151,151,2,0,0.03333333333333338
0.1737527336766951,0.42029389922656313,152,152,2,0,0.06666666666666676
0.2091919854779488,0.41239509435020505,153,153,2,0,0.09999999999999987
0.24418388024513332,0.40372587187942216,154,154,2,0,0.13333333333333325
0.27869468180702306,0.3943464460392355,155,155,2,0,0.16666666666666707
0.31267782407063993,0.38431916142117906,156,156,2,0,0.20000000000000018
0.3461171102051786,0.37370530869786067,157,157,2,0,0.23333333333333356
0.378973223555084,0.3625739792473088,158,158,2,0,0.26666666666666694
0.41121257389718513,0.3510092284970057,159,159,2,0,0.30000000000000004
0.4428068180612373,0.33950798743346977,160,160,2,0,0.3333333333333334
0.4737934468314663,0.32829183280397045,161,161,2,0,0.36666666666666653
0.504193861045273,0.31738266254478215,162,162,2,0,0.40000000000000036
0.5340334166985674,0.3067972779184819,163,163,2,0,0.43333333333333374
0.5633268618787357,0.29655338976205764,164,164,2,0,0.46666666666666684
0.5921143767148782,0.2866548528982352,165,165,2,0,0.5000000000000002
0.6204177556683369,0.2771078152052411,166,166,2,0,0.5333333333333333
0.6482623547350227,0.2679153540923364,167,167,2,0,0.5666666666666667
0.6756644231654678,0.2590821353065497,168,168,2,0,0.6000000000000001
0.7026625001181728,0.2506023228683281,169,169,2,0,0.6333333333333332
0.7292785198619349,0.2424721136991905,170,170,2,0,0.666666666666667
0.7555378383926638,0.23468619988639142,171,171,2,0,0.7000000000000004
0.7814579523075423,0.2272411637104794,172,172,2,0,0.7333333333333335
0.8070762674274624,0.2201258952088216,173,173,2,0,0.7666666666666668
0.8324146040121778,0.21333083282952825,174,174,2,0,0.8
0.8574983180576,0.2068460027004645,175,175,2,0,0.8333333333333334
0.8823458996910717,0.20066333229034872,176,176,2,0,0.8666666666666667
0.9069941575099872,0.1947717368190992,177,177,2,0,0.9000000000000004
0.9314696059141604,0.18925389005411394,178,178,2,0,0.9333333333333337
0.9558156910554799,0.18414643715181345,179,179,2,0,0.9666666666666668
0.9800722475402869,0.17942501724281232,180,180,2,0,1.0000000000000002
1.0042969995863344,0.1750618072374907,181,181,2,0,1.0333333333333337
1.0285307007265756,0.17102727311442664,182,182,2,0,1.0666666666666667
1.052819061664273,0.16729403669505205,183,183,2,0,1.1
1.0772025430908925,0.16383640533039415,184,184,2,0,1.1333333333333333
1.1017400712476633,0.16062682850963061,185,185,2,0,1.166666666666667
1.1264705715589378,0.15763550617472932,186,186,2,0,1.2000000000000004
1.151439754727977,0.15483481641667732,187,187,2,0,1.2333333333333334
1.1766882499618736,0.15219834760661716,188,188,2,0,1.2666666666666668
1.2022771006643318,0.14969881989767647,189,189,2,0,1.3000000000000003
1.2282429465816034,0.1473068691717726,190,190,2,0,1.3333333333333333
1.2546314984169498,0.14499523754545046,191,191,2,0,1.3666666666666667
1.2814830963235884,0.14273777156913062,192,192,2,0,1.4000000000000004
1.308861816006699,0.1405080171312008,193,193,2,0,1.4333333333333336
1.3368015539649323,0.13827852307862462,194,194,2,0,1.466666666666667
1.3653480123497352,0.13602260243047945,195,195,2,0,1.5
1.3945241760291134,0.13350633569256037,196,196,2,0,1.5333333333333334
1.4243213777892518,0.13056336127936702,197,197,2,0,1.5666666666666669
1.4546822192810758,0.1272412005246011,198,198,2,0,1.6
1.485564206105651,0.1235845826043877,199,199,2,0,1.6333333333333333
1.51691759114593,0.11963937873558927,200,200,2,0,1.666666666666667
1.5487197040095717,0.11544565955270676,201,201,2,0,1.7000000000000002
1.5809143818066602,0.11105186930314159,202,202,2,0,1.7333333333333336
1.6134591301382606,0.10650099617841763,203,203,2,0,1.7666666666666668
1.6463114546054394,0.1018344748556237,204,204,2,0,1.8000000000000003
1.6794240346135656,0.0970907688762166,205,205,2,0,1.8333333333333335
1.7127659680116336,0.09230738734977899,206,206,2,0,1.8666666666666667
1.746286897145975,0.08752019045059806,207,207,2,0,1.9
1.7799443276176559,0.08276111007280017,208,208,2,0,1.9333333333333336
1.813688472158014,0.07805890677149283,209,209,2,0,1.966666666666667
1.8474910804527782,0.0734388642216991,210,210,2,0,2.0000000000000004
1.8813016096855755,0.0689250742402196,211,211,2,0,2.033333333333333
1.9150775654574737,0.06453728282523058,212,212,2,0,2.066666666666667
1.9487671240710427,0.060292623512767325,213,213,2,0,2.1
1.9823536326661233,0.05625282745770553,214,214,2,0,2.1333333333333333
2.0158402965591566,0.05247228772320096,215,215,2,0,2.166666666666667
2.0492513429097126,0.048933967088471156,216,216,2,0,2.2
2.0826028419110716,0.04562257644710263,217,217,2,0,2.2333333333333334
2.1159355604361956,0.04252080331247782,218,218,2,0,2.266666666666667
2.149266002782598,0.03961507934571534,219,219,2,0,2.3000000000000003
2.1826184074593122,0.036892140693227576,220,220,2,0,2.3333333333333335
2.2160098547332896,0.03434046148397241,221,221,2,0,2.3666666666666667
2.2494803926883145,0.031947214647108126,222,222,2,0,2.4
2.2830462343374083,0.029702388502141082,223,223,2,0,2.4333333333333336
2.3167316181896043,0.0275962255525963,224,224,2,0,2.466666666666667
2.3505543919552023,0.025620246303362463,225,225,2,0,2.5000000000000004
2.3845543701894503,0.02376511386226481,226,226,2,0,2.5333333333333337
2.4187472319905567,0.02202361284738652,227,227,2,0,2.566666666666667
2.4531572158675536,0.020388697354464067,228,228,2,0,2.6
2.487802694343778,0.018854240537851945,229,229,2,0,2.6333333333333333
2.5227237337065707,0.017413522050334338,230,230,2,0,2.666666666666667
2.5579352365090124,0.016061424189684162,231,231,2,0,2.7
2.593458309024399,0.014788476458444251,232,232,2,0,2.7333333333333334
2.6292888686426967,0.013585080232766188,233,233,2,0,2.766666666666667
2.6654370622026726,0.012450072073139268,234,234,2,0,2.8000000000000003
2.7018867210746307,0.01138304075527305,235,235,2,0,2.8333333333333335
2.7386318780725767,0.010382848339455523,236,236,2,0,2.8666666666666667
2.775659861538524,0.009448187518447523,237,237,2,0,2.9
2.8129818266206654,0.008576906987441037,238,238,2,0,2.9333333333333336
2.8505812341984624,0.007767314414509406,239,239,2,0,2.966666666666667
2.888452117085914,0.007017215587137188,240,240,2,0,3.0
2.926581172490027,0.006324361108364271,241,241,2,0,3.0333333333333337
2.9649804974526197,0.005685924340431589,242,242,2,0,3.066666666666667
3.003633242094535,0.005099504001960179,243,243,2,0,3.1
3.0425334392297794,0.004562405880885285,244,244,2,0,3.1333333333333333
3.081667214662572,0.004071979082017814,245,245,2,0,3.1666666666666665
3.121047487863898,0.0036252328103738205,246,246,2,0,3.2
3.1606571579282186,0.0032195642306984684,247,247,2,0,3.2333333333333334
3.200490257669536,0.0028522452569711048,248,248,2,0,3.2666666666666666
3.240532401221526,0.0025206598765069076,249,249,2,0,3.3000000000000007
3.280796696847042,0.0022219306707690835,250,250,2,0,3.333333333333334
3.3212611879122997,0.0019534728585841234,251,251,2,0,3.366666666666667
3.3619131258017902,0.0017129809105685212,252,252,2,0,3.4000000000000004
3.4027307749523366,0.0014982664813899035,253,253,2,0,3.4333333333333336
3.4437212699178605,0.0013070716599056398,254,254,2,0,3.4666666666666672
3.484860573338701,0.0011373997965521143,255,255,2,0,3.5000000000000004
3.5261359156615573,0.0009872868155464507,256,256,2,0,3.5333333333333337
3.5675251325455895,0.0008549044349956234,257,257,2,0,3.566666666666667
3.6090355305066177,0.000738446556359867,258,258,2,0,3.6
3.650643329000747,0.0006363280982774721,259,259,2,0,3.6333333333333333
3.6923357584746754,0.0005470408437111482,260,260,2,0,3.6666666666666665
3.734090353634626,0.00046920985644832675,261,261,2,0,3.6999999999999997
3.7759143373088664,0.0004015205909261009,262,262,2,0,3.733333333333333
3.8177843135939926,0.00034282987746813917,263,263,2,0,3.7666666666666666
3.8596875129367,0.0002920780550189903,264,264,2,0,3.8000000000000007
3.901601296915003,0.0002483162554067912,265,265,2,0,3.833333333333334
3.9435325490201656,0.0002106608513460654,266,266,2,0,3.866666666666667
3.9854583858139923,0.00017835084698344272,267,267,2,0,3.9000000000000004
4.027292389224642,0.00015001493825395434,268,268,2,0,3.9333333333333336
4.0688144784594344,0.00012578329336209297,269,269,2,0,3.966666666666667
4.110000626373004,0.00010542258422810618,270,270,2,0,4.0
4.150850832965333,8.83251028669435e-05,271,271,2,0,4.033333333333333
4.191365098236445,7.397616960688093e-05,272,272,2,0,4.066666666666666
4.231543422186324,6.194039359643125e-05,273,273,2,0,4.1000000000000005
4.2713858048149715,5.184986035216612e-05,274,274,2,0,4.133333333333334
4.310892246122396,4.339399646195603e-05,275,275,2,0,4.166666666666667
4.3500627461085895,3.631088991945526e-05,276,276,2,0,4.2
4.388897304773551,3.0379870522169115e-05,277,277,2,0,4.233333333333333
4.427395922117291,2.5415178345209365e-05,278,278,2,0,4.266666666666667
4.465558598139801,2.1260569581882676e-05,279,279,2,0,4.300000000000001
4.503385332841078,1.7784728130811106e-05,280,280,2,0,4.333333333333334
4.540876126221128,1.4877368340396197e-05,281,281,2,0,4.366666666666667
4.578030978279945,1.2445929441962088e-05,282,282,2,0,4.4
4.614849889017539,1.0412775566545156e-05,283,283,2,0,4.433333333333334
4.651332858433906,8.712827002023326e-06,284,284,2,0,4.466666666666667
4.687479886529038,7.291558659231649e-06,285,285,2,0,4.5
4.723290973302942,6.103310724348476e-06,286,286,2,0,4.533333333333333
4.758766118755623,5.1098643187111396e-06,287,287,2,0,4.566666666666666
4.793905322887077,4.279241795778812e-06,288,288,2,0,4.6000000000000005
4.828708585697295,3.584697197752761e-06,289,289,2,0,4.633333333333334
4.863175907186284,3.003867480741422e-06,290,290,2,0,4.666666666666667
4.897310036894178,2.521212175890327e-06,291,291,2,0,4.7
4.931316427423742,2.1331969140004326e-06,292,292,2,0,4.733333333333333
4.965322817953306,1.802811270603493e-06,293,293,2,0,4.766666666666667
4.999329208482871,1.5218342327052117e-06,294,294,2,0,4.800000000000001
5.033335599012435,1.2831640997833532e-06,295,295,2,0,4.833333333333334
5.067341989541998,1.0806742882541503e-06,296,296,2,0,4.866666666666667
5.101348380071562,9.090864901517655e-07,297,297,2,0,4.9
5.135354770601126,7.638592739459428e-07,298,298,2,0,4.933333333333334
5.16936116113069,6.410904013084577e-07,299,299,2,0,4.966666666666667
5.203367551660254,5.374313048623954e-07,300,300,2,0,5.0
-5.069045049669114,1.0713866552903879e-06,301,0,0,1,-5.0
-5.035038659139551,1.2722098875802708e-06,302,1,0,1,-4.966666666666667
-5.001032268609986,1.508929910321147e-06,303,2,0,1,-4.933333333333333
-4.967025878080423,1.7876279438792182e-06,304,3,0,1,-4.9
-4.933019487550859,2.115353577189274e-06,305,4,0,1,-4.866666666666667
-4.899013097021294,2.5002680456510173e-06,306,5,0,1,-4.833333333333333
-4.865006706491731,2.9518068656287763e-06,307,6,0,1,-4.8
-4.831000315962167,3.4808641445735162e-06,308,7,0,1,-4.766666666666667
-4.796993925432603,4.10000111828037e-06,309,8,0,1,-4.733333333333333
-4.762994964267821,4.8185847352821426e-06,310,9,0,1,-4.7
-4.729063895151427,5.647006558241703e-06,311,10,0,1,-4.666666666666667
-4.695214006829447,6.607680663447645e-06,312,11,0,1,-4.633333333333334
-4.661445299301876,7.719964994134698e-06,313,12,0,1,-4.6
-4.627757772568721,9.005766994028754e-06,314,13,0,1,-4.566666666666666
-4.594151426629976,1.0489836590180561e-05,315,14,0,1,-4.533333333333333
-4.560626261485646,1.2200086868427228e-05,316,15,0,1,-4.5
-4.527182277135728,1.416794428527387e-05,317,16,0,1,-4.466666666666667
-4.493819473580221,1.642873028724801e-05,318,17,0,1,-4.433333333333334
-4.460537850819128,1.902207622325049e-05,319,18,0,1,-4.3999999999999995
-4.427337408852445,2.1992373435331976e-05,320,19,0,1,-4.366666666666666
-4.394218147680176,2.5389260396826118e-05,321,20,0,1,-4.333333333333333
-4.361180067302321,2.926814873203369e-05,322,21,0,1,-4.300000000000001
-4.32822316771888,3.3690789896756305e-05,323,22,0,1,-4.266666666666667
-4.295347448929846,3.872588422206668e-05,324,23,0,1,-4.233333333333333
-4.262552910935227,4.4449733922895325e-05,325,24,0,1,-4.2
-4.229839553735021,5.094694154652248e-05,326,25,0,1,-4.166666666666666
-4.19720737732923,5.831115518209682e-05,327,26,0,1,-4.133333333333333
-4.1646563817178475,6.66458615693121e-05,328,27,0,1,-4.1000000000000005
-4.132186566900877,7.606522803075629e-05,329,28,0,1,-4.066666666666666
-4.099797932878323,8.669499390698946e-05,330,29,0,1,-4.033333333333333
-4.06749047965018,9.86734118948588e-05,331,30,0,1,-4.0
-4.035264207216451,0.00011215223937711105,332,31,0,1,-3.9666666666666663
-4.0031191155771335,0.00012729777948436755,333,32,0,1,-3.933333333333333
-3.9719949303598088,0.00013456857016556881,334,33,0,1,-3.9
-3.943109575766646,0.00014006870924918797,335,34,0,1,-3.866666666666667
-3.916267657095434,0.00014484846144601366,336,35,0,1,-3.833333333333333
-3.8912445428865907,0.00014911121599273656,337,36,0,1,-3.8
-3.867829176462179,0.00015311632659723896,338,37,0,1,-3.7666666666666666
-3.845819981633214,0.000157174608623061,339,38,0,1,-3.7333333333333334
-3.8249994864046175,0.00016164903937301728,340,39,0,1,-3.7
-3.805148119457519,0.00016692371188344892,341,40,0,1,-3.666666666666667
-3.786054824113984,0.0001734285413142754,342,41,0,1,-3.633333333333333
-3.767513865459126,0.00018163929960576832,343,42,0,1,-3.6
-3.749304757380956,0.00019210255589848446,344,43,0,1,-3.566666666666667
-3.731215101403417,0.0002053892190052974,345,44,0,1,-3.533333333333333
-3.713033840848575,0.00022217659458946952,346,45,0,1,-3.5
-3.6945531947777352,0.00024326058387957557,347,46,0,1,-3.466666666666667
-3.675545437557807,0.00026963942082667094,348,47,0,1,-3.433333333333333
-3.6558074562576426,0.0003024399821710441,349,48,0,1,-3.4
-3.6351281941993077,0.000343107040521175,350,49,0,1,-3.3666666666666667
-3.6132999371835224,0.00039345329853753355,351,50,0,1,-3.3333333333333335
-3.590111624485344,0.0004539237582463267,352,51,0,1,-3.3
-3.5655910975230958,0.0005223614450058225,353,52,0,1,-3.2666666666666666
-3.539829288712654,0.000599720515527076,354,53,0,1,-3.2333333333333334
-3.512923292500064,0.0006871126812122946,355,54,0,1,-3.1999999999999997
-3.4849398441159125,0.000785784532348131,356,55,0,1,-3.1666666666666665
-3.4559914462658,0.0008969751290324388,357,56,0,1,-3.1333333333333333
-3.4261694237438083,0.0010219914865465135,358,57,0,1,-3.0999999999999996
-3.3955651013440167,0.0011621621383029127,359,58,0,1,-3.0666666666666664
-3.364269028528057,0.0013187521783500228,360,59,0,1,-3.033333333333333
-3.332368291695698,0.0014931086665488146,361,60,0,1,-2.9999999999999996
-3.299961587367773,0.0016863690975501236,362,61,0,1,-2.966666666666667
-3.2671402403383616,0.001899552348590518,363,62,0,1,-2.9333333333333336
-3.2340003911723443,0.0021333440416791407,364,63,0,1,-2.9000000000000004
-3.200622847263352,0.002388375664712345,365,64,0,1,-2.8666666666666663
-3.167106993035111,0.002664707692776936,366,65,0,1,-2.8333333333333335
-3.1335441532816946,0.0029619746841186654,367,66,0,1,-2.8
-3.1000351454993376,0.0032790364158550014,368,67,0,1,-2.7666666666666666
-3.066656326419331,0.0036144891427473823,369,68,0,1,-2.7333333333333334
-3.0335003119337087,0.003969155119395453,370,69,0,1,-2.7
-3.000592151793778,0.004351073123309368,371,70,0,1,-2.666666666666666
-2.967932314722927,0.00476236027815762,372,71,0,1,-2.6333333333333333
-2.9354927196465836,0.0052050153681603845,373,72,0,1,-2.6
-2.9032701176271374,0.005680834169140423,374,73,0,1,-2.5666666666666664
-2.8712541059146792,0.006191803395432472,375,74,0,1,-2.533333333333333
-2.8394437242199184,0.006739870320690929,376,75,0,1,-2.5
-2.807811959854712,0.007327517131812143,377,76,0,1,-2.466666666666667
-2.7763553089484736,0.007956959195190157,378,77,0,1,-2.433333333333333
-2.7450633687512913,0.008630663725452212,379,78,0,1,-2.4
-2.713934469653171,0.009351057777137925,380,79,0,1,-2.3666666666666667
-2.682942459086909,0.010121247276802029,381,80,0,1,-2.333333333333333
-2.6520836823816825,0.010943988882679515,382,81,0,1,-2.3
-2.6213477367875826,0.011822369808002378,383,82,0,1,-2.2666666666666666
-2.590732347506654,0.012759437896075648,384,83,0,1,-2.233333333333333
-2.5602120138271416,0.013759098876793668,385,84,0,1,-2.2
-2.5297830344107326,0.014824798563427059,386,85,0,1,-2.1666666666666665
-2.4994350065075186,0.015960413446993206,387,86,0,1,-2.133333333333333
-2.469161785667039,0.017178891001458578,388,87,0,1,-2.0999999999999996
-2.4388899033808698,0.01852626739351946,389,88,0,1,-2.066666666666667
-2.408535048579189,0.0200257759152839,390,89,0,1,-2.033333333333333
-2.378005438363315,0.021700719894733177,391,90,0,1,-1.9999999999999998
-2.3472139180997487,0.023577865979403482,392,91,0,1,-1.9666666666666668
-2.316052792224282,0.02568855045955976,393,92,0,1,-1.9333333333333336
