data_seed,data_type,ntrain,mcmc_strategy,apply_jitter,igprior
5,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
6,gaussian,250,iwls-nuts,FALSE,"1,0.005"
6,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
6,gaussian,500,iwls-nuts,FALSE,"1,0.005"
6,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
6,mixture,250,iwls-nuts,FALSE,"1,0.005"
6,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
6,mixture,500,iwls-nuts,FALSE,"1,0.005"
6,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
6,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
6,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
6,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
6,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
6,ptm,250,iwls-nuts,FALSE,"1,0.005"
6,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
6,ptm,500,iwls-nuts,FALSE,"1,0.005"
6,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
7,gaussian,250,iwls-nuts,FALSE,"1,0.005"
7,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
7,gaussian,500,iwls-nuts,FALSE,"1,0.005"
7,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
7,mixture,250,iwls-nuts,FALSE,"1,0.005"
7,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
7,mixture,500,iwls-nuts,FALSE,"1,0.005"
7,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
7,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
7,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
7,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
7,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
7,ptm,250,iwls-nuts,FALSE,"1,0.005"
7,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
7,ptm,500,iwls-nuts,FALSE,"1,0.005"
7,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
8,gaussian,250,iwls-nuts,FALSE,"1,0.005"
8,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
8,gaussian,500,iwls-nuts,FALSE,"1,0.005"
8,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
8,mixture,250,iwls-nuts,FALSE,"1,0.005"
8,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
8,mixture,500,iwls-nuts,FALSE,"1,0.005"
8,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
8,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
8,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
8,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
8,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
8,ptm,250,iwls-nuts,FALSE,"1,0.005"
8,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
8,ptm,500,iwls-nuts,FALSE,"1,0.005"
8,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
9,gaussian,250,iwls-nuts,FALSE,"1,0.005"
9,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
9,gaussian,500,iwls-nuts,FALSE,"1,0.005"
9,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
9,mixture,250,iwls-nuts,FALSE,"1,0.005"
9,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
9,mixture,500,iwls-nuts,FALSE,"1,0.005"
9,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
9,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
9,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
9,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
9,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
9,ptm,250,iwls-nuts,FALSE,"1,0.005"
9,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
9,ptm,500,iwls-nuts,FALSE,"1,0.005"
9,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
10,gaussian,250,iwls-nuts,FALSE,"1,0.005"
10,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
10,gaussian,500,iwls-nuts,FALSE,"1,0.005"
10,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
10,mixture,250,iwls-nuts,FALSE,"1,0.005"
10,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
10,mixture,500,iwls-nuts,FALSE,"1,0.005"
10,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
10,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
10,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
10,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
10,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
10,ptm,250,iwls-nuts,FALSE,"1,0.005"
10,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
10,ptm,500,iwls-nuts,FALSE,"1,0.005"
10,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
11,gaussian,250,iwls-nuts,FALSE,"1,0.005"
11,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
11,gaussian,500,iwls-nuts,FALSE,"1,0.005"
11,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
11,mixture,250,iwls-nuts,FALSE,"1,0.005"
11,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
11,mixture,500,iwls-nuts,FALSE,"1,0.005"
11,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
11,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
11,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
11,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
11,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
11,ptm,250,iwls-nuts,FALSE,"1,0.005"
11,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
11,ptm,500,iwls-nuts,FALSE,"1,0.005"
11,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
12,gaussian,250,iwls-nuts,FALSE,"1,0.005"
12,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
12,gaussian,500,iwls-nuts,FALSE,"1,0.005"
12,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
12,mixture,250,iwls-nuts,FALSE,"1,0.005"
12,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
12,mixture,500,iwls-nuts,FALSE,"1,0.005"
12,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
12,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
12,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
12,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
12,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
12,ptm,250,iwls-nuts,FALSE,"1,0.005"
12,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
12,ptm,500,iwls-nuts,FALSE,"1,0.005"
12,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
13,gaussian,250,iwls-nuts,FALSE,"1,0.005"
13,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
13,gaussian,500,iwls-nuts,FALSE,"1,0.005"
13,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
13,mixture,250,iwls-nuts,FALSE,"1,0.005"
13,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
13,mixture,500,iwls-nuts,FALSE,"1,0.005"
13,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
13,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
13,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
13,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
13,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
13,ptm,250,iwls-nuts,FALSE,"1,0.005"
13,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
13,ptm,500,iwls-nuts,FALSE,"1,0.005"
13,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
14,gaussian,250,iwls-nuts,FALSE,"1,0.005"
14,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
14,gaussian,500,iwls-nuts,FALSE,"1,0.005"
14,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
14,mixture,250,iwls-nuts,FALSE,"1,0.005"
14,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
14,mixture,500,iwls-nuts,FALSE,"1,0.005"
14,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
14,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
14,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
14,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
14,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
14,ptm,250,iwls-nuts,FALSE,"1,0.005"
14,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
14,ptm,500,iwls-nuts,FALSE,"1,0.005"
14,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
15,gaussian,250,iwls-nuts,FALSE,"1,0.005"
15,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
15,gaussian,500,iwls-nuts,FALSE,"1,0.005"
15,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
15,mixture,250,iwls-nuts,FALSE,"1,0.005"
15,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
15,mixture,500,iwls-nuts,FALSE,"1,0.005"
15,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
15,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
15,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
15,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
15,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
15,ptm,250,iwls-nuts,FALSE,"1,0.005"
15,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
15,ptm,500,iwls-nuts,FALSE,"1,0.005"
15,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
16,gaussian,250,iwls-nuts,FALSE,"1,0.005"
16,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
16,gaussian,500,iwls-nuts,FALSE,"1,0.005"
16,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
16,mixture,250,iwls-nuts,FALSE,"1,0.005"
16,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
16,mixture,500,iwls-nuts,FALSE,"1,0.005"
16,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
16,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
16,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
16,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
16,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
16,ptm,250,iwls-nuts,FALSE,"1,0.005"
16,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
16,ptm,500,iwls-nuts,FALSE,"1,0.005"
16,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
17,gaussian,250,iwls-nuts,FALSE,"1,0.005"
17,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
17,gaussian,500,iwls-nuts,FALSE,"1,0.005"
17,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
17,mixture,250,iwls-nuts,FALSE,"1,0.005"
17,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
17,mixture,500,iwls-nuts,FALSE,"1,0.005"
17,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
17,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
17,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
17,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
17,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
17,ptm,250,iwls-nuts,FALSE,"1,0.005"
17,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
17,ptm,500,iwls-nuts,FALSE,"1,0.005"
17,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
18,gaussian,250,iwls-nuts,FALSE,"1,0.005"
18,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
18,gaussian,500,iwls-nuts,FALSE,"1,0.005"
18,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
18,mixture,250,iwls-nuts,FALSE,"1,0.005"
18,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
18,mixture,500,iwls-nuts,FALSE,"1,0.005"
18,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
18,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
18,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
18,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
18,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
18,ptm,250,iwls-nuts,FALSE,"1,0.005"
18,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
18,ptm,500,iwls-nuts,FALSE,"1,0.005"
18,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
19,gaussian,250,iwls-nuts,FALSE,"1,0.005"
19,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
19,gaussian,500,iwls-nuts,FALSE,"1,0.005"
19,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
19,mixture,250,iwls-nuts,FALSE,"1,0.005"
19,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
19,mixture,500,iwls-nuts,FALSE,"1,0.005"
19,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
19,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
19,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
19,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
19,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
19,ptm,250,iwls-nuts,FALSE,"1,0.005"
19,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
19,ptm,500,iwls-nuts,FALSE,"1,0.005"
19,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
20,gaussian,250,iwls-nuts,FALSE,"1,0.005"
20,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
20,gaussian,500,iwls-nuts,FALSE,"1,0.005"
20,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
20,mixture,250,iwls-nuts,FALSE,"1,0.005"
20,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
20,mixture,500,iwls-nuts,FALSE,"1,0.005"
20,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
20,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
20,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
20,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
20,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
20,ptm,250,iwls-nuts,FALSE,"1,0.005"
20,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
20,ptm,500,iwls-nuts,FALSE,"1,0.005"
20,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
21,gaussian,250,iwls-nuts,FALSE,"1,0.005"
21,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
21,gaussian,500,iwls-nuts,FALSE,"1,0.005"
21,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
21,mixture,250,iwls-nuts,FALSE,"1,0.005"
21,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
21,mixture,500,iwls-nuts,FALSE,"1,0.005"
21,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
21,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
21,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
21,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
21,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
21,ptm,250,iwls-nuts,FALSE,"1,0.005"
21,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
21,ptm,500,iwls-nuts,FALSE,"1,0.005"
21,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
22,gaussian,250,iwls-nuts,FALSE,"1,0.005"
22,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
22,gaussian,500,iwls-nuts,FALSE,"1,0.005"
22,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
22,mixture,250,iwls-nuts,FALSE,"1,0.005"
22,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
22,mixture,500,iwls-nuts,FALSE,"1,0.005"
22,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
22,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
22,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
22,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
22,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
22,ptm,250,iwls-nuts,FALSE,"1,0.005"
22,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
22,ptm,500,iwls-nuts,FALSE,"1,0.005"
22,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
23,gaussian,250,iwls-nuts,FALSE,"1,0.005"
23,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
23,gaussian,500,iwls-nuts,FALSE,"1,0.005"
23,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
23,mixture,250,iwls-nuts,FALSE,"1,0.005"
23,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
23,mixture,500,iwls-nuts,FALSE,"1,0.005"
23,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
23,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
23,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
23,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
23,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
23,ptm,250,iwls-nuts,FALSE,"1,0.005"
23,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
23,ptm,500,iwls-nuts,FALSE,"1,0.005"
23,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
24,gaussian,250,iwls-nuts,FALSE,"1,0.005"
24,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
24,gaussian,500,iwls-nuts,FALSE,"1,0.005"
24,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
24,mixture,250,iwls-nuts,FALSE,"1,0.005"
24,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
24,mixture,500,iwls-nuts,FALSE,"1,0.005"
24,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
24,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
24,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
24,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
24,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
24,ptm,250,iwls-nuts,FALSE,"1,0.005"
24,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
24,ptm,500,iwls-nuts,FALSE,"1,0.005"
24,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
25,gaussian,250,iwls-nuts,FALSE,"1,0.005"
25,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
25,gaussian,500,iwls-nuts,FALSE,"1,0.005"
25,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
25,mixture,250,iwls-nuts,FALSE,"1,0.005"
25,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
25,mixture,500,iwls-nuts,FALSE,"1,0.005"
25,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
25,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
25,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
25,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
25,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
25,ptm,250,iwls-nuts,FALSE,"1,0.005"
25,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
25,ptm,500,iwls-nuts,FALSE,"1,0.005"
25,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
26,gaussian,250,iwls-nuts,FALSE,"1,0.005"
26,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
26,gaussian,500,iwls-nuts,FALSE,"1,0.005"
26,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
26,mixture,250,iwls-nuts,FALSE,"1,0.005"
26,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
26,mixture,500,iwls-nuts,FALSE,"1,0.005"
26,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
26,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
26,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
26,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
26,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
26,ptm,250,iwls-nuts,FALSE,"1,0.005"
26,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
26,ptm,500,iwls-nuts,FALSE,"1,0.005"
26,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
27,gaussian,250,iwls-nuts,FALSE,"1,0.005"
27,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
27,gaussian,500,iwls-nuts,FALSE,"1,0.005"
27,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
27,mixture,250,iwls-nuts,FALSE,"1,0.005"
27,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
27,mixture,500,iwls-nuts,FALSE,"1,0.005"
27,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
27,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
27,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
27,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
27,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
27,ptm,250,iwls-nuts,FALSE,"1,0.005"
27,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
27,ptm,500,iwls-nuts,FALSE,"1,0.005"
27,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
28,gaussian,250,iwls-nuts,FALSE,"1,0.005"
28,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
28,gaussian,500,iwls-nuts,FALSE,"1,0.005"
28,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
28,mixture,250,iwls-nuts,FALSE,"1,0.005"
28,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
28,mixture,500,iwls-nuts,FALSE,"1,0.005"
28,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
28,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
28,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
28,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
28,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
28,ptm,250,iwls-nuts,FALSE,"1,0.005"
28,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
28,ptm,500,iwls-nuts,FALSE,"1,0.005"
28,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
29,gaussian,250,iwls-nuts,FALSE,"1,0.005"
29,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
29,gaussian,500,iwls-nuts,FALSE,"1,0.005"
29,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
29,mixture,250,iwls-nuts,FALSE,"1,0.005"
