variable,var_fqn,var_index,sample_size,mean,var,sd,rhat,ess_bulk,ess_tail,mcse_mean,mcse_sd,q_0.05,q_0.5,q_0.95,hdi_low,hdi_high,r,pdf_gaussian,model,job,run,fold,a,b,nparam,trafo_target_slope
pdf,pdf[23],"(23,)",40000,1.4085182421223e-4,5.0701394483413795e-9,7.120491168691511e-5,1.000105028280497,25053.281094416147,19018.826324176724,4.314137437674546e-7,6.17407434347991e-7,5.35542751064602e-5,1.2760769317506e-4,2.7107367523666e-4,3.659158900772422e-5,2.3857881037371e-4,-3.891566265060241,2.0529090924862e-4,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[24],"(24,)",40000,1.6405104795508e-4,7.4434381911642585e-9,8.627536259653888e-5,1.0001061971786624,24981.524553724892,19368.820751771105,5.213563746501881e-7,7.502940142180461e-7,6.123369021253331e-5,1.466397002435e-4,3.2455124779198e-4,4.003915164070318e-5,2.8073290197682e-4,-3.843373493975904,2.4735192825456e-4,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[25],"(25,)",40000,1.9070404961081e-4,1.0610603731352916e-8,1.0300778480946e-4,1.0000990637911311,24978.190419276976,19502.01649335815,6.208518342385678e-7,8.824325318945799e-7,7.09065174161061e-5,1.6858131845975e-4,3.844409201024e-4,5.037262208349084e-5,3.3298972498556e-4,-3.7951807228915664,2.9733923152715e-4,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[26],"(26,)",40000,2.2134239061154e-4,1.4756819428297064e-8,1.2147764991263e-4,1.0000816969482005,25062.63810712126,19575.12330849997,7.305780517041397e-7,1.0439775691425304e-6,8.279249058531311e-5,1.9393191873045e-4,4.5033516671261e-4,5.65193129709112e-5,3.8694334803231e-4,-3.7469879518072298,3.5659927947989e-4,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[27],"(27,)",40000,2.5656540356687e-4,2.0021337110489548e-8,1.4149677420524e-4,1.0000761777071512,25186.339923626467,19724.712253651243,8.494875996081189e-7,1.2407146565425628e-6,9.752096219124896e-5,2.239235794453e-4,5.2458766631804e-4,6.610375322751301e-5,4.4670024996583e-4,-3.6987951807228914,4.2667779328802e-4,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[28],"(28,)",40000,2.9705427273217e-4,2.6405505283963504e-8,1.6249770854988e-4,1.0000579895081354,25353.85681250412,20167.83316174457,9.73977885893725e-7,1.4513206351264014e-6,1.1491200733164e-4,2.5939781721548e-4,6.0328202765458e-4,7.80369352150908e-5,5.1473189777325e-4,-3.6506024096385543,5.0934371503073e-4,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[29],"(29,)",40000,3.4362011810326e-4,3.3716403158743505e-8,1.8362026892133e-4,1.000066776112056,25602.585156693494,20515.97328609404,1.0983246158421017e-6,1.6301590161135664e-6,1.3589535928341e-4,3.0182571409625e-4,6.891303197996e-4,9.036922822940276e-5,5.8712697114454e-4,-3.602409638554217,6.0661507005116e-4,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[30],"(30,)",40000,3.9730584992928e-4,4.167467872099892e-8,2.0414376973348e-4,1.0000545653463082,26068.758225584337,21190.632629400825,1.217213641463046e-6,1.7268234785543523e-6,1.6082365783432e-4,3.5261452786478e-4,7.8036215811296e-4,1.1431129572692e-4,6.7708675106079e-4,-3.55421686746988,7.2078671116245e-4,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[31],"(31,)",40000,4.5834703150266e-4,5.0828441908563785e-8,2.2545163984447e-4,1.0000443831962031,26570.203142206097,21796.434533393593,1.3376626718244806e-6,1.7547715201077495e-6,1.8875040102916e-4,4.1242456347115e-4,8.8182458625226e-4,1.3274583088173e-4,7.6763575398455e-4,-3.5060240963855422,8.5445988696892e-4,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[32],"(32,)",40000,5.2658211647062e-4,6.228367173392705e-8,2.4956696843518e-4,1.000041594348865,27109.982331763786,23576.31569973672,1.4726221573441375e-6,1.7760638218711422e-6,2.188907212957e-4,4.7852857362755e-4,9.9189793458635e-4,1.6099820421562e-4,8.7788357986091e-4,-3.4578313253012047,0.00101057353315584,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[33],"(33,)",40000,6.0241179973631e-4,7.695524957104423e-8,2.7740809211528e-4,1.0000516132222297,27665.812384820565,24085.341366464854,1.6310277250696304e-6,1.8269690144387955e-6,2.5248106943122e-4,5.5119983697473e-4,0.00112564549953067,1.8405792201882e-4,9.9828840853769e-4,-3.4096385542168677,0.00119243713595509,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[34],"(34,)",40000,6.8588732725653e-4,9.570898144242509e-8,3.0936868206466e-4,1.0000663119800517,28219.824994393926,24812.732570157044,1.8095843285510749e-6,1.9388151232173994e-6,2.9032301454881e-4,6.3045311126589e-4,0.00127023180957244,2.3267821930707e-4,0.00114948631248789,-3.36144578313253,0.00140376496106669,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[35],"(35,)",40000,7.7654526607279e-4,1.1892457094915977e-7,3.4485441993565e-4,1.0000618348976018,28881.224616159576,24895.765761045524,2.000011126837446e-6,2.1289261117734584e-6,3.3313647444079e-4,7.1485519355239e-4,0.00142946636303787,2.5430335921861e-4,0.0012811463821374,-3.313253012048193,0.00164871137920745,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[36],"(36,)",40000,8.7324511250311e-4,1.458521768397385e-7,3.8190597905733e-4,1.0000668054606416,29655.337263044778,25163.411142315912,2.1972937529900637e-6,2.3621611588734633e-6,3.8300975604298e-4,8.0467813148281e-4,0.00159597885405947,3.0517931302416e-4,0.00144220742317,-3.265060240963855,0.00193190695144037,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[37],"(37,)",40000,9.7404246170022e-4,1.739241733273071e-7,4.1704217212088e-4,1.0001054941691063,30709.251866649964,26109.11070533584,2.369356570042168e-6,2.607830409959909e-6,4.3929076290544e-4,8.9937629721366e-4,0.00176283225826687,3.5102470643189e-4,0.00159312104769064,-3.2168674698795185,0.00225849486398394,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[38],"(38,)",40000,0.00107614643619657,1.9848476281185866e-7,4.4551628793104e-4,1.0001658770062734,32126.019588143157,26984.83996378372,2.4931817128422504e-6,2.790107708181848e-6,5.0137643616453e-4,9.9738328928519e-4,0.00191782724590577,4.0005395181133e-4,0.00172728813349205,-3.168674698795181,0.00263416722400305,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[39],"(39,)",40000,0.00117601965501757,2.13772667558883e-7,4.6235556399689e-4,1.0002439950381377,33739.84310683593,27788.550042322346,2.53745888118037e-6,2.8404780331389507e-6,5.7096919672337e-4,0.0010984942821357,0.00204572853748707,4.789655802851e-4,0.00186366833514286,-3.120481927710844,0.00306520064587613,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[40],"(40,)",40000,0.00127416443242164,2.203151328273617e-7,4.6937738849177e-4,1.0001995316061192,35672.77614208644,28228.05905988232,2.516366775787104e-6,2.766795330593408e-6,6.4758701245294e-4,0.00120239839962295,0.0021528759924112,5.4686891778252e-4,0.00196969818217863,-3.072289156626506,0.0035584904728124,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[41],"(41,)",40000,0.00137891639705834,2.280043115679267e-7,4.7749797022388e-4,1.0001851294757098,37432.5924963512,29518.47130226933,2.5059188055457843e-6,2.7040846668470585e-6,7.2551793738115e-4,0.00131310101310658,0.00226045050322565,6.4152920248448e-4,0.00211232871849278,-3.024096385542169,0.00412158289291921,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[42],"(42,)",40000,0.00149291445763661,2.401407025260372e-7,4.9004153142977e-4,1.000159729039372,38711.538494828645,28722.37113429971,2.5248912390969034e-6,2.692030133064273e-6,8.0884875644889e-4,0.00143075190609099,0.0023910856898273,7.2512562452373e-4,0.00224714749590109,-2.9759036144578315,0.00476270412363473,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[43],"(43,)",40000,0.00161873277224962,2.589679902097999e-7,5.0888897630996e-4,1.0001057923028391,39284.14160431929,29857.696483571803,2.6017535436992104e-6,2.7543151232700912e-6,8.999041189305e-4,0.0015599420053518,0.00254598001314108,7.9890032280715e-4,0.00238848060370992,-2.927710843373494,0.00549078575585598,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[44],"(44,)",40000,0.00175906691859297,2.8526344766634124e-7,5.3410059695373e-4,1.000058169722822,38831.89697609,30868.984119582197,2.734156287372287e-6,2.8804869920070325e-6,0.00100126780823007,0.00169962307659181,0.00273024750115079,9.1639053701337e-4,0.00259001173359941,-2.879518072289157,0.00631548527138585,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[45],"(45,)",40000,0.00191672983952634,3.179687720036076e-7,5.6388719794264e-4,1.0000861269203472,37734.864178849275,29308.63298318837,2.9096774447883363e-6,3.041930992914395e-6,0.00111890858798698,0.00185331139324888,0.00293817088055765,0.00102733569365465,0.00280143356141401,-2.8313253012048194,0.00724720067701476,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[46],"(46,)",40000,0.00209472011019354,3.5435453849314405e-7,5.952768586911e-4,1.0000718929379726,36420.04225803269,29390.533989270993,3.109467434329546e-6,3.2031548195753355e-6,0.00125426776014479,0.00202905412472431,0.00317037354886614,0.0011633686516967,0.00303745809792763,-2.7831325301204823,0.00829707813837829,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[47],"(47,)",40000,0.00229638519039647,3.911583426960665e-7,6.2542652861552e-4,1.0000528905546748,35087.92419750591,29935.35638739853,3.3183109820893106e-6,3.329902372009177e-6,0.00140406032811778,0.00222820372456491,0.00342715145360647,0.00129621777409398,0.00326785966187476,-2.734939759036145,0.00947701144959936,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[48],"(48,)",40000,0.00252570787730163,4.2746850034745796e-7,6.53810752701e-4,1.0000365101918476,33754.92432237179,30037.29006030564,3.5372731500196683e-6,3.405279893420999e-6,0.00158197631528391,0.00245654612893405,0.00370109521054481,0.00148810291054219,0.00355495911729518,-2.686746987951808,0.01079963214365691,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[49],"(49,)",40000,0.00278998933900837,4.725733665460964e-7,6.8743971848162e-4,1.0001009287417015,32224.080889133213,30265.89262266763,3.817832156155159e-6,3.471270131073718e-6,0.00177428067535038,0.00272677026101846,0.00401076211305443,0.00165240213379556,0.00384709671282035,-2.63855421686747,0.01227828903650688,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[50],"(50,)",40000,0.00310801111928467,5.47568484304214e-7,7.3997870530456e-4,1.0001077875108884,30567.563843389868,30443.381957768437,4.223872011887677e-6,3.641120761441756e-6,0.00200278829910854,0.00305045925533832,0.00441629404460798,0.00190818375080715,0.00428645145364007,-2.590361445783133,0.01392701600827184,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[51],"(51,)",40000,0.00349434195214434,6.580156081794181e-7,8.1118161232822e-4,1.000081895544114,29228.022092315103,30124.30196945095,4.7317967644627306e-6,3.923554242760996e-6,0.0022712527677389,0.00343586860287042,0.00492559135454776,0.00216709150549732,0.00478329091011265,-2.5421686746987953,0.01576048686027054,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[52],"(52,)",40000,0.00396507323623009,8.049779784510965e-7,8.9720565003297e-4,1.0000769426454224,28370.540648298935,29604.62146131498,5.303346218514078e-6,4.2991531336775675e-6,0.00261189367151524,0.00390275810842626,0.00553908655674645,0.00250616759701917,0.00540421572458062,-2.493975903614458,0.01779395615002024,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[53],"(53,)",40000,0.00453960985115416,9.852565536005535e-7,9.9260090348566e-4,1.0000968683739355,27967.092196719575,29096.32445450505,5.897103627407581e-6,4.72630194709547e-6,0.00304081879606939,0.00446777665575982,0.0062915382482131,0.00285334270835476,0.00605909017350562,-2.4457831325301207,0.0200431850000641,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[54],"(54,)",40000,0.00524179585157121,1.1898020588561145e-6,0.00109078048151592,1.0000723134758374,27962.80841179776,29037.515440464183,6.468331355115694e-6,5.155783571127165e-6,0.00359877654672564,0.00515981306850391,0.00717899331203542,0.00340785981023378,0.00692474258993458,-2.397590361445783,0.02252435100256997,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[55],"(55,)",40000,0.00610145195651641,1.4025244430697552e-6,0.00118428224805987,1.0000718936167647,28344.67337073563,29458.955412086627,6.967038239114475e-6,5.534994999822568e-6,0.00432390614363011,0.00601176631857465,0.00819961482174513,0.00412986279718259,0.00794075033365732,-2.349397590361446,0.02525394150162811,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[56],"(56,)",40000,0.00715647505872418,1.6017829917886708e-6,0.00126561565721536,1.000063165985428,29164.88343051278,29367.8509719196,7.339635194669538e-6,5.810650391759885e-6,0.00525755509683821,0.00706114915108711,0.00939578106725866,0.00507804543774618,0.00915179003428961,-2.3012048192771086,0.02824862972989411,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[57],"(57,)",40000,0.00845571859516692,1.7702773740825524e-6,0.00133051770904507,1.0000447261601957,30624.657020242656,30337.355347692257,7.538530419425449e-6,5.932025836501855e-6,0.00644893246937876,0.00836437225704231,0.01079977782534529,0.00630643918434347,0.01059099018862857,-2.2530120481927716,0.03152513350581302,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[58],"(58,)",40000,0.01005762659665406,1.93311139631333e-6,0.00139036376402484,1.0000133408888314,32996.25953143094,31519.56628044308,7.61162465108571e-6,5.985178504147905e-6,0.00793710503170451,0.00996840642348948,0.01249784729772738,0.00773230465077257,0.01223333074443112,-2.2048192771084336,0.03510005646139096,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[59],"(59,)",40000,0.01197509372871722,2.241995527135226e-6,0.00149732946512623,1.0000099270912794,35468.20848578327,33602.292314317405,7.925378774832569e-6,6.323619072062796e-6,0.00965410328391371,0.01189629266293633,0.01457104490145521,0.00948785930133049,0.01435985425799379,-2.156626506024097,0.03898971206670847,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[60],"(60,)",40000,0.01425138033225648,2.798927209182765e-6,0.00167299946478854,1.000014620853026,37355.52777464487,34650.46184798267,8.658580024760329e-6,7.043196207172994e-6,0.0116314053230375,0.01417341515432607,0.01713644290425253,0.01155025786000374,0.01702008708244278,-2.1084337349397595,0.04320993104345377,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[61],"(61,)",40000,0.01695060344919952,3.688776920382572e-6,0.00192061888993693,1.0000235680661884,37940.768833657894,34109.32538791751,9.87516112781478e-6,8.129575445912424e-6,0.01392684424467547,0.01686523357738218,0.0202322741775256,0.01377014804218468,0.02005967285513181,-2.0602409638554224,0.04777585311200136,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[62],"(62,)",40000,0.02014369345049649,4.978219846140584e-6,0.00223119247178287,0.9999823988834468,37753.97933791024,34869.95410022206,1.1501724317858744e-5,9.519710773523315e-6,0.0166085564310307,0.02004673577257677,0.02394592800011993,0.01650945186414913,0.02381778054567399,-2.0120481927710845,0.05270170439023072,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[63],"(63,)",40000,0.02390808546851802,6.668120641475475e-6,0.00258227044313245,1.000010899178298,37415.86700224456,34509.956485509014,1.3370978504798598e-5,1.109784539274344e-5,0.01980337970237695,0.02379850426681764,0.02835365758283123,0.01947026146442554,0.02794848649100769,-1.9638554216867472,0.05800056215154257,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[64],"(64,)",40000,0.02832716512427936,8.62623446666487e-6,0.0029370451931601,1.000020602364064,37200.258927547424,34819.31691216631,1.5243621492889246e-5,1.26744439685563e-5,0.02368736740473157,0.02819665153909924,0.03336085167921249,0.02329633196075953,0.03294890358180366,-1.91566265060241,0.0636841090475667,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[65],"(65,)",40000,0.03348957007972456,1.0524152243971796e-5,0.00324409498072602,1.0000354509252911,37352.494967544466,35013.519707889194,1.6792998540619278e-5,1.3967948596908152e-5,0.02838633401815483,0.03333950427655836,0.03906158279662145,0.02827240063894059,0.03889722044428072,-1.8674698795180724,0.06976237930005932,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[66],"(66,)",40000,0.03948852677910625,1.1849298410446618e-5,0.0034422809894671,1.0000279413554134,38152.12962426997,35713.27476524208,1.762114210317602e-5,1.4652296122358262e-5,0.03405711928122496,0.03931904189018592,0.04538205614271515,0.0337130716461534,0.04499224485205021,-1.8192771084337351,0.07624349975784238,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
